iter	Logloss
0	0.5340434122
1	0.466773424
2	0.4309811619
3	0.4196094965
4	0.4160501713
5	0.4093924307
6	0.4046884852
7	0.4033602044
8	0.3993995595
9	0.3938602477
10	0.3920298323
11	0.3915657187
12	0.3898432149
13	0.3860493116
14	0.3836698012
15	0.3822327426
16	0.3803194072
17	0.3747767997
18	0.371355674
19	0.3700616514
20	0.367400725
21	0.3642447765
22	0.3619717448
23	0.3606461423
24	0.3551470881
25	0.3543982309
26	0.3533542017
27	0.3530617886
28	0.351688067
29	0.3475624842
30	0.3452510564
31	0.3447675551
32	0.3441692407
33	0.3437702765
34	0.3429074365
35	0.3418758296
36	0.3365783267
37	0.3358623504
38	0.3356131722
39	0.3340666536
40	0.3329431928
41	0.3310140967
42	0.3276430549
43	0.3227933447
44	0.3204345533
45	0.3159992648
46	0.315588939
47	0.3140110588
48	0.3118599268
49	0.3083555699
50	0.307691378
51	0.3069018527
52	0.3063410907
53	0.3058626638
54	0.3045887235
55	0.3028128023
56	0.3009029053
57	0.2981825069
58	0.2965309683
59	0.296128251
60	0.2930495782
61	0.2922134909
62	0.2915262119
63	0.2889189846
64	0.2871196798
65	0.2860711397
66	0.2852731422
67	0.2834302185
68	0.281436439
69	0.2803633195
70	0.2789043846
71	0.2774726737
72	0.2743655778
73	0.2731400877
74	0.2726734863
75	0.2714564047
76	0.2713094594
77	0.2703813876
78	0.26901528
79	0.2677747766
80	0.2669701683
81	0.2669468287
82	0.2664943102
83	0.2652276176
84	0.2643720281
85	0.2630646648
86	0.2626450461
87	0.2614873659
88	0.2610083289
89	0.2595849449
90	0.2580723712
91	0.2566753682
92	0.2561557881
93	0.2554718452
94	0.2552771563
95	0.2549383688
96	0.253176711
97	0.2524815008
98	0.2521274808
99	0.2498673977
