iter	Passed	Remaining
0	52	5230
1	54	2661
2	55	1787
3	56	1358
4	57	1094
5	58	918
6	59	793
7	60	696
8	61	624
9	63	573
10	64	520
11	64	476
12	65	438
13	66	405
14	66	378
15	67	353
16	67	331
17	68	313
18	69	295
19	70	280
20	70	265
21	71	252
22	71	240
23	72	228
24	72	218
25	73	209
26	74	201
27	75	193
28	75	185
29	76	178
30	77	171
31	77	165
32	78	158
33	78	152
34	79	147
35	79	141
36	80	136
37	80	132
38	81	127
39	81	122
40	82	118
41	83	115
42	84	111
43	84	107
44	85	104
45	85	100
46	86	97
47	87	94
48	97	101
49	98	98
50	98	94
51	99	92
52	100	89
53	101	86
54	102	83
55	103	80
56	103	78
57	104	75
58	105	73
59	106	70
60	107	68
61	107	66
62	108	63
63	109	61
64	110	59
65	110	57
66	111	54
67	111	52
68	112	50
69	113	48
70	113	46
71	114	44
72	115	42
73	115	40
74	115	38
75	116	36
76	116	34
77	117	33
78	117	31
79	118	29
80	118	27
81	119	26
82	119	24
83	120	22
84	120	21
85	121	19
86	121	18
87	122	16
88	122	15
89	123	13
90	123	12
91	124	10
92	124	9
93	125	7
94	125	6
95	126	5
96	127	3
97	127	2
98	128	1
99	128	0
